,Country,Date of Admission,AverageTemperature,Standard Deviation
0,afghanistan,19-Nov-46,15.051181818181819,8.919991802890648
1,afghanistan,19-Nov-46,14.064916666666667,9.684161544016398
2,afghanistan,19-Nov-46,13.768666666666666,9.143732302743908
3,afghanistan,19-Nov-46,15.033416666666666,8.8570226524014
4,afghanistan,19-Nov-46,13.084916666666667,10.401564082197476
5,afghanistan,19-Nov-46,14.101833333333333,8.95402157320013
6,afghanistan,19-Nov-46,14.342999999999998,8.842851864127834
7,afghanistan,19-Nov-46,13.663250000000003,9.382971346831159
8,afghanistan,19-Nov-46,13.762333333333332,9.245363686571217
9,afghanistan,19-Nov-46,13.805083333333336,9.56792383158278
10,afghanistan,19-Nov-46,14.78308333333333,9.410213440322394
11,afghanistan,19-Nov-46,14.823500000000001,9.263610021819984
12,afghanistan,19-Nov-46,12.547166666666667,10.071965194478578
13,afghanistan,19-Nov-46,14.235500000000004,10.075310439611549
14,afghanistan,19-Nov-46,13.316749999999999,10.052908861030316
15,afghanistan,19-Nov-46,13.548083333333333,9.895000670295657
16,afghanistan,19-Nov-46,13.708583333333332,9.827493821448378
17,afghanistan,19-Nov-46,14.805416666666668,9.709999058686718
18,afghanistan,19-Nov-46,14.329666666666668,9.534615741252152
19,afghanistan,19-Nov-46,14.262083333333335,9.120258623310011
20,afghanistan,19-Nov-46,14.887333333333332,9.55737776259627
21,afghanistan,19-Nov-46,14.860083333333334,8.777182240521919
22,afghanistan,19-Nov-46,13.733083333333335,9.814467136540955
23,afghanistan,19-Nov-46,14.614833333333335,9.820287292902968
24,afghanistan,19-Nov-46,14.245833333333332,10.520940148392661
25,afghanistan,19-Nov-46,14.888749999999996,9.340854400525586
26,afghanistan,19-Nov-46,14.223166666666666,9.579368681355435
27,afghanistan,19-Nov-46,14.983999999999996,8.665605628523082
28,afghanistan,19-Nov-46,15.388999999999998,9.219872341849424
29,afghanistan,19-Nov-46,14.125750000000002,9.598163234560701
30,afghanistan,19-Nov-46,14.993333333333332,9.85754663681434
31,afghanistan,19-Nov-46,14.370750000000001,9.311046773737486
32,afghanistan,19-Nov-46,14.056083333333333,8.80337009289194
33,afghanistan,19-Nov-46,14.439249999999996,9.23650109988527
34,afghanistan,19-Nov-46,14.75475,9.490151451277363
35,afghanistan,19-Nov-46,14.859166666666667,9.574409906652527
36,afghanistan,19-Nov-46,14.426000000000002,9.615163242598545
37,afghanistan,19-Nov-46,14.904000000000002,9.524471056656685
38,afghanistan,19-Nov-46,15.1325,9.289287725899412
39,afghanistan,19-Nov-46,15.38875,9.169137276012593
40,afghanistan,19-Nov-46,15.497833333333334,9.678690368145075
41,afghanistan,19-Nov-46,15.778083333333333,9.601361905842822
42,afghanistan,19-Nov-46,15.537666666666668,9.513237631974947
43,afghanistan,19-Nov-46,14.916000000000002,9.17632308022812
44,afghanistan,19-Nov-46,15.77091666666667,8.804717221811305
45,afghanistan,19-Nov-46,14.979999999999999,9.613469821037564
46,afghanistan,19-Nov-46,15.595583333333332,9.936402407843902
47,afghanistan,19-Nov-46,15.106166666666669,9.560056740353994
48,afghanistan,19-Nov-46,15.216500000000002,10.970820243636382
49,afghanistan,19-Nov-46,15.257749999999996,9.176367206778309
50,afghanistan,19-Nov-46,15.828666666666669,9.109413037006712
51,afghanistan,19-Nov-46,15.518,10.382853400066512
52,afghanistan,19-Nov-46,14.481583333333333,10.270896264851151
53,afghanistan,19-Nov-46,16.533625,10.554764136736683
54,albania,14-Dec-55,14.172181818181816,5.806941584314102
55,albania,14-Dec-55,13.316749999999999,6.800245759262207
56,albania,14-Dec-55,13.068750000000001,7.489748668255588
57,albania,14-Dec-55,13.085833333333335,7.442910376914925
58,albania,14-Dec-55,12.515333333333333,7.034705503086218
59,albania,14-Dec-55,12.378416666666666,7.1727141237829315
60,albania,14-Dec-55,13.204583333333337,7.021427534966652
61,albania,14-Dec-55,12.621749999999997,7.278990341136855
62,albania,14-Dec-55,12.869583333333333,6.98687339956258
63,albania,14-Dec-55,12.802916666666667,6.848270165899671
64,albania,14-Dec-55,12.839666666666666,6.497837533061333
65,albania,14-Dec-55,12.534416666666667,6.895986032182825
66,albania,14-Dec-55,12.60825,6.468856371106101
67,albania,14-Dec-55,12.48666666666667,7.298356880251552
68,albania,14-Dec-55,12.559833333333332,6.725488449085902
69,albania,14-Dec-55,12.56841666666667,7.100918166730698
70,albania,14-Dec-55,12.03625,6.258643697464985
71,albania,14-Dec-55,13.22325,6.389970153935136
72,albania,14-Dec-55,12.263583333333335,6.385505980639897
73,albania,14-Dec-55,12.989166666666668,6.39239320433184
74,albania,14-Dec-55,12.162083333333335,7.025668566806013
75,albania,14-Dec-55,12.578666666666669,7.352815655285127
76,albania,14-Dec-55,13.01525,7.362891935855837
77,albania,14-Dec-55,12.510916666666667,6.921571451344023
78,albania,14-Dec-55,12.640749999999999,6.490138381001245
